train_size,err_percent,errors,total
1K,10.460251046025105,25,239
2K,12.97071129707113,31,239
5K,8.786610878661088,21,239
10K,3.7656903765690375,9,239
20K,2.510460251046025,6,239
50K,2.510460251046025,6,239
